Question,Answer,Source
Number of employment of this year,not found,page1
Does the company set specific objectives to be achieved on resource efficiency?,TRUE,page1
Total water withdrawal in cubic meters,"799,829",page2
Does the company have a policy to support the skills training or career development of its employees?,TRUE,page3
Total CO2 and CO2 equivalents emission in tonnes,not found,page4
Does the company have a policy to improve employee health & safety within the company and its supply chain?,TRUE,page5
"Does the company claim to use environmental criteria (e.g., life cycle assessment) to source or eliminate materials?",FALSE,page6
"Does the company report or show to be ready to end a partnership with a sourcing partner, if environmental criteria are not met?",FALSE,page7
Does the company have a policy for reducing the use of natural resources or to lessen the environmental impact of its supply chain?,TRUE,page8
Does the company have a CSR committee or team?,TRUE,page9
"Does the company claim to apply quality management systems, such as ISO 9000, Six Sigma, Lean Manufacturing, Lean Sigma, TQM or any other similar quality principles?",FALSE,page10
Does the company make use of renewable energy?,FALSE,page11
Does the company have a policy to ensure the respect of human rights in general?,TRUE,page12
Is the company's CSR report published in accordance with the GRI guidelines?,TRUE,page13
"Does the company report on partnerships or initiatives with specialized NGOs, industry organizations, governmental or supra-governmental organizations, which are focused on improving environmental issues?",TRUE,page14
Has the company set targets or objectives to be achieved on energy efficiency?,TRUE,page15
Has the company set targets or objectives to be achieved on emission reduction?,TRUE,page16
Does the company conduct surveys of the environmental performance of its suppliers?,TRUE,page17
Does the company describe in the code of conduct that it strives to maintain the highest level of general business ethics? ,TRUE,page18
"Does the company use environmental criteria (ISO 14000, energy consumption, etc.) in the selection process of its suppliers or sourcing partners?",TRUE,page19
Does the company have a policy to improve its water efficiency? ,TRUE,page20
Does the company have a policy to improve its energy efficiency?,TRUE,page21
Does the company explain how it engages with its stakeholders?,TRUE,page22
Does the company have a policy to include its supply chain in the company's efforts to lessen its overall environmental impact?,TRUE,page23
Does the company have a policy to protect customer health & safety? ,TRUE,page24
Does the company have a policy to improve emission reduction?,TRUE,page25
Does the company have a policy to avoid the use of child labor?,FALSE,page26
Does the company report about environmentally friendly or green sites or offices?,TRUE,page27
Does the company have a policy to drive diversity and equal opportunity?,TRUE,page28
Does the company have an employee health & safety team?,TRUE,page29
